        name         |                   title                   
---------------------+-------------------------------------------
 Fishburne, Laurence | CR: Enter the Matrix
 Fishburne, Laurence | The Matrix Online
 Fishburne, Laurence | The Matrix: Path of Neo
 Fishburne, Laurence | Enter the Matrix
 Hall, Tom           | Deus Ex
 Warner, David       | Fallout: A Post-Nuclear Role-Playing Game
(6 rows)

        name         |                   title                   
---------------------+-------------------------------------------
 Fishburne, Laurence | CR: Enter the Matrix
 Fishburne, Laurence | The Matrix Online
 Fishburne, Laurence | The Matrix: Path of Neo
 Fishburne, Laurence | Enter the Matrix
 Hall, Tom           | Deus Ex
 Warner, David       | Fallout: A Post-Nuclear Role-Playing Game
(6 rows)

                                       title                                       | production_year 
-----------------------------------------------------------------------------------+-----------------
 Odd                                                                               |                
 The Courtship of Eddie's Father                                                   |                
 Wild on Spring Break 2001                                                         |                
 The Croods 2                                                                      |            2018
 Mom and Dad                                                                       |            2017
 Southern Fury                                                                     |            2017
 Vengeance: A Love Story                                                           |            2017
 (2016-03-26)                                                                      |            2016
 Army of One                                                                       |            2016
 Avortement génocidaire - SLG Shot #3                                              |            2016
 Dog Eat Dog                                                                       |            2016
 Left Behind                                                                       |            2016
 Snowden                                                                           |            2016
 The Trust                                                                         |            2016
 USS Indianapolis: Men of Courage                                                  |            2016
 (2015-10-09)                                                                      |            2015
 Mega Man VS Astro Boy                                                             |            2015
 Pay the Ghost                                                                     |            2015
 The Death of "Superman Lives": What Happened?                                     |            2015
 The Runner                                                                        |            2015
 (2014-04-11)                                                                      |            2014
 (2014-04-19)                                                                      |            2014
 (#9.25)                                                                           |            2014
 Disney Afternoon                                                                  |            2014
 Dying of the Light                                                                |            2014
 Left Behind                                                                       |            2014
 Major Deegan Pilot                                                                |            2014
 Mojado Mexican                                                                    |            2014
 Nicolas Cage/Emily VanCamp/Kiss                                                   |            2014
 Nicolas Cage/Whoopi Goldberg                                                      |            2014
 Outcast                                                                           |            2014
 Sunrise                                                                           |            2014
 SXSW Flashback 2014                                                               |            2014
 Tokarev                                                                           |            2014
 (#1.22)                                                                           |            2013
 (2013-04-04)                                                                      |            2013
 (2013-04-08)                                                                      |            2013
 (2013-04-25)                                                                      |            2013
 (2013-07-22)                                                                      |            2013
 (#5.80)                                                                           |            2013
 (#8.22)                                                                           |            2013
 (#8.40)                                                                           |            2013
 Bedazzled                                                                         |            2013
 Daring Death                                                                      |            2013
 Help!                                                                             |            2013
 Joe                                                                               |            2013
 My Son My Son What Have Ye Done?                                                  |            2013
 Stolen: Behind the Scenes                                                         |            2013
 Stolen: Cast and Crew Interviews                                                  |            2013
 Superheroes: From Page to Screen                                                  |            2013
 The Croods                                                                        |            2013
 The Frozen Ground                                                                 |            2013
 The Making of 'Stolen'                                                            |            2013
 The Wicker Man                                                                    |            2013
 (#19.88)                                                                          |            2012
 (2012-02-15)                                                                      |            2012
 (2012-02-17)                                                                      |            2012
 (2012-02-18)                                                                      |            2012
 (2012-02-24)                                                                      |            2012
 (2012-06-28)                                                                      |            2012
 (#4.26)                                                                           |            2012
 (#7.17)                                                                           |            2012
 Adam Lambert/Nicolas Cage/Demian Bichir/Jason Mraz                                |            2012
 A Thousand Words                                                                  |            2012
 Can't Stand Losing You                                                            |            2012
 Elvis Found Alive                                                                 |            2012
 Männer                                                                            |            2012
 RZA                                                                               |            2012
 Screwing School                                                                   |            2012
 Stolen                                                                            |            2012
 The Making of 'Seeking Justice'                                                   |            2012
 The Path to Vengeance: Making 'Ghost Rider, Spirit of Vengeance'                  |            2012
 Zooey Deschanel/Karmin                                                            |            2012
 (#1.54)                                                                           |            2011
 (2011-01-05)                                                                      |            2011
 (2011-02-25)                                                                      |            2011
 (2011-03-04)                                                                      |            2011
 (#6.18)                                                                           |            2011
 Drive Angry                                                                       |            2011
 Ghost Rider: Spirit of Vengeance                                                  |            2011
 Nicolas Cage                                                                      |            2011
 Nicolas Cage/Deena Nicole Cortese/Holt McCallany                                  |            2011
 Saturday Night Live Backstage                                                     |            2011
 Scream Awards 2011                                                                |            2011
 Season of the Witch                                                               |            2011
 Seeking Justice                                                                   |            2011
 Trespass                                                                          |            2011
 Trespass: Inside the Thriller                                                     |            2011
 (#1.25)                                                                           |            2010
 (#1.41)                                                                           |            2010
 (#18.31)                                                                          |            2010
 (2010-06-24)                                                                      |            2010
 (2010-07-05)                                                                      |            2010
 (2010-07-07)                                                                      |            2010
 (2010-07-16)                                                                      |            2010
 (2010-07-19)                                                                      |            2010
 (#2.102)                                                                          |            2010
 (#5.31)                                                                           |            2010
 (#6.190)                                                                          |            2010
 (#8.154)                                                                          |            2010
 Despicable Me/The Kids Are All Right                                              |            2010
 Kick-Ass                                                                          |            2010
 MovieMash                                                                         |            2010
 Nicolas Cage/Steel Train                                                          |            2010
 The Sorcerer's Apprentice                                                         |            2010
 Was ich bin sind meine Filme - Teil 2... nach 30 Jahren                           |            2010
 With Great Power: The Stan Lee Story                                              |            2010
 (#1.108)                                                                          |            2009
 (#16.107)                                                                         |            2009
 (2009-01-20)                                                                      |            2009
 (2009-03-17)                                                                      |            2009
 (2009-03-18)                                                                      |            2009
 (2009-03-20)                                                                      |            2009
 (2009-03-27)                                                                      |            2009
 (2009-03-31)                                                                      |            2009
 (2009-05-21)                                                                      |            2009
 (2009-07-21)                                                                      |            2009
 (2009-09-10)                                                                      |            2009
 Astro Boy                                                                         |            2009
 G-Force                                                                           |            2009
 Knowing                                                                           |            2009
 The Bad Lieutenant: Port of Call - New Orleans                                    |            2009
 Venice Film Festival 2009                                                         |            2009
 (#16.1)                                                                           |            2008
 (2008-01-02)                                                                      |            2008
 (2008-09-05)                                                                      |            2008
 Bangkok Dangerous                                                                 |            2008
 Del corto a Hollywood                                                             |            2008
 Knights of the Golden Circle                                                      |            2008
 Nicolas Cage/Vivica A. Fox/Delta Spirit                                           |            2008
 NT2: Crafting the Presidents' Book                                                |            2008
 NT2: Creating the London Chase                                                    |            2008
 NT2: Evolution of a Golden City                                                   |            2008
 NT2: Inside the Library of Congress                                               |            2008
 NT2: On Location                                                                  |            2008
 NT2: Secrets of a Sequel                                                          |            2008
 NT2: Set in History                                                               |            2008
 NT2: Underground Action                                                           |            2008
 Oscar, que empiece el espectáculo                                                 |            2008
 Pilot: Storm Front                                                                |            2008
 Roman Polanski: Wanted and Desired                                                |            2008
 Samuel L. Jackson: An American Cinematheque Tribute                               |            2008
 The Films of Jon Turteltaub                                                       |            2008
 (#14.100)                                                                         |            2007
 (#15.30)                                                                          |            2007
 (2007-01-30)                                                                      |            2007
 (2007-02-14)                                                                      |            2007
 (2007-02-25)                                                                      |            2007
 (2007-04-25)                                                                      |            2007
 (2007-07-18)                                                                      |            2007
 (2007-08-19)                                                                      |            2007
 (2007-12-04)                                                                      |            2007
 (2007-12-07)                                                                      |            2007
 (2007-12-14)                                                                      |            2007
 (2007-12-18)                                                                      |            2007
 (#6.32)                                                                           |            2007
 (#6.33)                                                                           |            2007
 Bad Blood                                                                         |            2007
 Birds of a Feather                                                                |            2007
 Blazing Trails: The Making of 'Ghost Rider'                                       |            2007
 Cannes, 60 ans d'histoires                                                        |            2007
 Cómo conseguir un papel en Hollywood                                              |            2007
 Ghost Rider                                                                       |            2007
 Ghost Rider: Comic-Con 2006                                                       |            2007
 Ghost Rider: Inside the Action                                                    |            2007
 Grindhouse                                                                        |            2007
 Hair of the Dog                                                                   |            2007
 Horâ wo 666 bai tanoshiku miru hô'hô                                              |            2007
 Making the Best Next Thing                                                        |            2007
 National Treasure: Book of Secrets                                                |            2007
 Next                                                                              |            2007
 Old Hollywood: Silent Stars, Deadly Secrets                                       |            2007
 Rules of Engagement                                                               |            2007
 Second City                                                                       |            2007
 Soul Beneficiary                                                                  |            2007
 Spirit of Vengeance: The Making of 'Ghost Rider'                                  |            2007
 Storm Front                                                                       |            2007
 The Boone Identity                                                                |            2007
 The Light and the Dark: The Making of 'Face/Off'                                  |            2007
 The 'Next' Grand Idea                                                             |            2007
 The Other Dick                                                                    |            2007
 Things That Go Bump                                                               |            2007
 Walls                                                                             |            2007
 Wetten, dass..? aus Graz                                                          |            2007
 What About Bob?                                                                   |            2007
 (2006-07-25)                                                                      |            2006
 (2006-08-03)                                                                      |            2006
 (#5.150)                                                                          |            2006
 (#5.172)                                                                          |            2006
 Ban the Sadist Videos! Part 2                                                     |            2006
 Extended Outlook: The Script                                                      |            2006
 Forecast: Becoming a Weatherman                                                   |            2006
 Movie Rush                                                                        |            2006
 Premio Donostia a Matt Dillon                                                     |            2006
 Relative Humidity: The Characters                                                 |            2006
 San Sebastián 2006: Crónica de Carlos Boyero                                      |            2006
 The Ant Bully                                                                     |            2006
 The Curse of Superman                                                             |            2006
 The Making of 'Lord of War'                                                       |            2006
 The Making of 'World Trade Center'                                                |            2006
 The Wicker Man                                                                    |            2006
 Too Tough to Die: A Tribute to Johnny Ramone                                      |            2006
 VH1 News Presents: Hollywood Secrets Revealed - Scenes They Don't Want You to See |            2006
 Visual and Special Effects                                                        |            2006
 World Trade Center                                                                |            2006
 (#1.1)                                                                            |            2005
 (2005-10-07)                                                                      |            2005
 (2005-10-24)                                                                      |            2005
 (2005-10-27)                                                                      |            2005
 Lord of War                                                                       |            2005
 'National Treasure' on Location                                                   |            2005
 National Treasure: On the Set of American History                                 |            2005
 On Location in Tulsa: The Making of 'Rumble Fish'                                 |            2005
 The Weather Man                                                                   |            2005
 To Steal a 'National Treasure'                                                    |            2005
 Tsunami Aid: A Concert of Hope                                                    |            2005
 101 Biggest Celebrity Oops                                                        |            2004
 (#12.185)                                                                         |            2004
 (2004-11-16)                                                                      |            2004
 (2004-11-17)                                                                      |            2004
 (2004-12-17)                                                                      |            2004
 (#2.10)                                                                           |            2004
 John Travolta: The Inside Story                                                   |            2004
 Love, Death, Elvis & Oz: The Making of 'Wild at Heart'                            |            2004
 National Treasure                                                                 |            2004
 National Treasure Uncovered                                                       |            2004
 Plattenladen                                                                      |            2004
 The 61st Annual Golden Globe Awards                                               |            2004
 The 76th Annual Academy Awards                                                    |            2004
 Tricks of the Trade: Making 'Matchstick Men'                                      |            2004
 (#11.36)                                                                          |            2003
 (#1.4)                                                                            |            2003
 (2003-09-04)                                                                      |            2003
 (2003-09-12)                                                                      |            2003
 (2003-09-20)                                                                      |            2003
 (#9.10)                                                                           |            2003
 9th Annual Screen Actors Guild Awards                                             |            2003
 John Travolta                                                                     |            2003
 Lisa Marie Presley                                                                |            2003
 Matchstick Men                                                                    |            2003
 The 60th Annual Golden Globe Awards                                               |            2003
 The 75th Annual Academy Awards                                                    |            2003
 The Code Talkers: A Secret Code of Honor                                          |            2003
 The Life of David Gale                                                            |            2003
 Valley Girl: 20 Totally Tubular Years Later                                       |            2003
 Valley Girl: In Conversation - Nicolas Cage and Martha Coolidge                   |            2003
 Vanessa Marcil                                                                    |            2003
 Windtalkers: Fly-On-the-Set Scene Diaries                                         |            2003
 (#10.95)                                                                          |            2002
 (2002-06-06)                                                                      |            2002
 (2002-06-11)                                                                      |            2002
 (2002-12-04)                                                                      |            2002
 2002 MTV Movie Awards                                                             |            2002
 Adaptation.                                                                       |            2002
 Es geht um den "Film" ...                                                         |            2002
 Hollywood Salutes Nicolas Cage: An American Cinematheque Tribute                  |            2002
 Sean Connery, an Intimate Portrait                                                |            2002
 Sonny                                                                             |            2002
 The Cult: Music Without Fear                                                      |            2002
 Windtalkers                                                                       |            2002
 2001 ABC World Stunt Awards                                                       |            2001
 2001 Blockbuster Entertainment Awards                                             |            2001
 (#9.140)                                                                          |            2001
 Captain Corelli's Mandolin                                                        |            2001
 Christmas Carol: The Movie                                                        |            2001
 Italian Soldiers                                                                  |            2001
 Om filmen 'En andra chans'                                                        |            2001
 The 73rd Annual Academy Awards                                                    |            2001
 2000 Blockbuster Entertainment Awards                                             |            2000
 2000 MTV Movie Awards                                                             |            2000
 (#8.200)                                                                          |            2000
 (#8.314)                                                                          |            2000
 Bel Air                                                                           |            2000
 Gone in 60 Seconds: Stars on the Move                                             |            2000
 Gone in 60 Seconds: Wild Rides                                                    |            2000
 Gone in Sixty Seconds                                                             |            2000
 Music Movie Stars                                                                 |            2000
 Om filmen 'Gone in Sixty Seconds'                                                 |            2000
 Shadow of the Vampire                                                             |            2000
 The Family Man                                                                    |            2000
 Twentieth Century Fox: The Blockbuster Years                                      |            2000
 1999 Blockbuster Entertainment Awards                                             |            1999
 (#7.16)                                                                           |            1999
 (#7.178)                                                                          |            1999
 (#7.35)                                                                           |            1999
 8mm                                                                               |            1999
 8MM                                                                               |            1999
 Bringing Out the Dead                                                             |            1999
 Laura Dern                                                                        |            1999
 Making of Bringing Out the Dead                                                   |            1999
 Nicolas Cage: Wild at Heart                                                       |            1999
 The 71st Annual Academy Awards                                                    |            1999
 1998 Blockbuster Entertainment Awards                                             |            1998
 (#6.142)                                                                          |            1998
 (#6.61)                                                                           |            1998
 Bravo Profiles: The Entertainment Business                                        |            1998
 City of Angels                                                                    |            1998
 Junket Whore                                                                      |            1998
 Making Angels                                                                     |            1998
 Snake Eyes                                                                        |            1998
 Welcome to Hollywood                                                              |            1998
 3rd Annual Screen Actors Guild Awards                                             |            1997
 Con Air                                                                           |            1997
 Face/Off                                                                          |            1997
 Sean Connery Close Up                                                             |            1997
 The 54th Annual Golden Globe Awards                                               |            1997
 The 69th Annual Academy Awards                                                    |            1997
 (1996-07-01)                                                                      |            1996
 2nd Annual Screen Actors Guild Awards                                             |            1996
 (#4.298)                                                                          |            1996
 Most Unlikely Heroes                                                              |            1996
 Shirley MacLaine                                                                  |            1996
 Show nº 14                                                                        |            1996
 The 53rd Annual Golden Globe Awards                                               |            1996
 The 68th Annual Academy Awards                                                    |            1996
 The American Film Institute Salute to Clint Eastwood                              |            1996
 The Rock                                                                          |            1996
 The Rock Premiere on Alcatraz                                                     |            1996
 Very Important Pennis: Part 2                                                     |            1996
 (1995-04-20)                                                                      |            1995
 Kiss of Death                                                                     |            1995
 Leaving Las Vegas                                                                 |            1995
 100 Years at the Movies                                                           |            1994
 (#1.3)                                                                            |            1994
 (1994-07-27)                                                                      |            1994
 (1994-07-29)                                                                      |            1994
 (#3.146)                                                                          |            1994
 A Century of Cinema                                                               |            1994
 Guarding Tess                                                                     |            1994
 Hollywood Waterloo                                                                |            1994
 It Could Happen to You                                                            |            1994
 Pilot                                                                             |            1994
 The 66th Annual Academy Awards                                                    |            1994
 Trapped in Paradise                                                               |            1994
 Amos & Andrew                                                                     |            1993
 Deadfall                                                                          |            1993
 Red Rock West                                                                     |            1993
 The 50th Annual Golden Globe Awards                                               |            1993
 (#1.70)                                                                           |            1992
 (1992-11-13)                                                                      |            1992
 Honeymoon in Vegas                                                                |            1992
 Nicolas Cage/Bobby Brown                                                          |            1992
 Zandalee                                                                          |            1991
 (#1.3)                                                                            |            1990
 (1990-08-17)                                                                      |            1990
 Fire Birds                                                                        |            1990
 Industrial Symphony No. 1: The Dream of the Brokenhearted                         |            1990
 Jonathan Ross Presents for One Week Only: David Lynch                             |            1990
 Wild at Heart                                                                     |            1990
 (#1.109)                                                                          |            1989
 Never on Tuesday                                                                  |            1989
 Tempo di uccidere                                                                 |            1989
 The 45th Annual Golden Globe Awards                                               |            1988
 The 60th Annual Academy Awards                                                    |            1988
 Vampire's Kiss                                                                    |            1988
 Moonstruck                                                                        |            1987
 Raising Arizona                                                                   |            1987
 The 59th Annual Academy Awards                                                    |            1987
 Peggy Sue Got Married                                                             |            1986
 The Boy in Blue                                                                   |            1986
 Birdy                                                                             |            1984
 Racing with the Moon                                                              |            1984
 The Cotton Club                                                                   |            1984
 Rumble Fish                                                                       |            1983
 Valley Girl                                                                       |            1983
 Fast Times at Ridgemont High                                                      |            1982
 Best of Times                                                                     |            1981
(367 rows)

                                                                   QUERY PLAN                                                                    
-------------------------------------------------------------------------------------------------------------------------------------------------
 Unique  (cost=1221105.75..1221105.96 rows=28 width=21) (actual time=15577.629..15577.730 rows=367 loops=1)
   ->  Sort  (cost=1221105.75..1221105.82 rows=28 width=21) (actual time=15577.627..15577.648 rows=398 loops=1)
         Sort Key: movie.production_year DESC, movie.title
         Sort Method: quicksort  Memory: 54kB
         ->  Nested Loop  (cost=109419.98..1221105.08 rows=28 width=21) (actual time=2975.799..15577.313 rows=398 loops=1)
               ->  Hash Join  (cost=109419.55..1221092.17 rows=28 width=4) (actual time=2975.779..15576.021 rows=398 loops=1)
                     Hash Cond: (cast_info.person_id = person.id)
                     ->  Seq Scan on cast_info  (cost=0.00..910435.52 rows=53663152 width=8) (actual time=0.005..7803.235 rows=53659391 loops=1)
                     ->  Hash  (cost=109419.51..109419.51 rows=3 width=4) (actual time=778.394..778.394 rows=1 loops=1)
                           Buckets: 1024  Batches: 1  Memory Usage: 9kB
                           ->  Seq Scan on person  (cost=0.00..109419.51 rows=3 width=4) (actual time=76.825..778.389 rows=1 loops=1)
                                 Filter: ((name)::text = 'Cage, Nicolas'::text)
                                 Rows Removed by Filter: 5775415
               ->  Index Scan using movie_pkey on movie  (cost=0.43..0.45 rows=1 width=25) (actual time=0.003..0.003 rows=1 loops=398)
                     Index Cond: (id = cast_info.movie_id)
 Planning time: 0.338 ms
 Execution time: 15577.787 ms
(17 rows)

                                       title                                       | production_year 
-----------------------------------------------------------------------------------+-----------------
 Odd                                                                               |                
 The Courtship of Eddie's Father                                                   |                
 Wild on Spring Break 2001                                                         |                
 The Croods 2                                                                      |            2018
 Mom and Dad                                                                       |            2017
 Southern Fury                                                                     |            2017
 Vengeance: A Love Story                                                           |            2017
 (2016-03-26)                                                                      |            2016
 Army of One                                                                       |            2016
 Avortement génocidaire - SLG Shot #3                                              |            2016
 Dog Eat Dog                                                                       |            2016
 Left Behind                                                                       |            2016
 Snowden                                                                           |            2016
 The Trust                                                                         |            2016
 USS Indianapolis: Men of Courage                                                  |            2016
 (2015-10-09)                                                                      |            2015
 Mega Man VS Astro Boy                                                             |            2015
 Pay the Ghost                                                                     |            2015
 The Death of "Superman Lives": What Happened?                                     |            2015
 The Runner                                                                        |            2015
 (2014-04-11)                                                                      |            2014
 (2014-04-19)                                                                      |            2014
 (#9.25)                                                                           |            2014
 Disney Afternoon                                                                  |            2014
 Dying of the Light                                                                |            2014
 Left Behind                                                                       |            2014
 Major Deegan Pilot                                                                |            2014
 Mojado Mexican                                                                    |            2014
 Nicolas Cage/Emily VanCamp/Kiss                                                   |            2014
 Nicolas Cage/Whoopi Goldberg                                                      |            2014
 Outcast                                                                           |            2014
 Sunrise                                                                           |            2014
 SXSW Flashback 2014                                                               |            2014
 Tokarev                                                                           |            2014
 (#1.22)                                                                           |            2013
 (2013-04-04)                                                                      |            2013
 (2013-04-08)                                                                      |            2013
 (2013-04-25)                                                                      |            2013
 (2013-07-22)                                                                      |            2013
 (#5.80)                                                                           |            2013
 (#8.22)                                                                           |            2013
 (#8.40)                                                                           |            2013
 Bedazzled                                                                         |            2013
 Daring Death                                                                      |            2013
 Help!                                                                             |            2013
 Joe                                                                               |            2013
 My Son My Son What Have Ye Done?                                                  |            2013
 Stolen: Behind the Scenes                                                         |            2013
 Stolen: Cast and Crew Interviews                                                  |            2013
